adm4,local_datetime,subdistrict_name,t,hu,ws,wd,tcc,visibility,weather_desc_en,rain_level,sea_level,tide_height,flood
31.73.08.1001,2024-01-01 00:00:00,kembangan utara,25.02,99.61,18.23,N,64.64,2.33,Rain,2.0,1.85,2.64,0.0
31.73.08.1002,2024-01-01 00:00:00,meruya utara,25.02,99.61,18.23,N,64.64,2.33,Rain,2.0,1.85,2.64,0.0
31.73.08.1003,2024-01-01 00:00:00,meruya selatan,25.02,99.61,18.23,N,64.64,2.33,Rain,2.0,1.85,2.64,0.0
31.73.08.1004,2024-01-01 00:00:00,srengseng,25.02,99.61,18.23,N,64.64,2.33,Rain,2.0,1.85,2.64,0.0
31.73.08.1005,2024-01-01 00:00:00,joglo,25.02,99.61,18.23,N,64.64,2.33,Rain,2.0,1.85,2.64,0.0
31.73.08.1006,2024-01-01 00:00:00,kembangan selatan,25.02,99.61,18.23,N,64.64,2.33,Rain,2.0,1.85,2.64,0.0
31.73.05.1001,2024-01-01 02:00:00,kebon jeruk,26.46,60.43,4.1,SE,31.63,2.88,Thunderstorm,4.0,0.4,1.42,1.0
31.73.05.1002,2024-01-01 02:00:00,sukabumi utara,26.46,60.43,4.1,SE,31.63,2.88,Thunderstorm,4.0,0.4,1.42,1.0
31.73.05.1003,2024-01-01 02:00:00,sukabumi selatan,26.46,60.43,4.1,SE,31.63,2.88,Thunderstorm,4.0,0.4,1.42,1.0
31.73.05.1004,2024-01-01 02:00:00,kelapa dua,26.46,60.43,4.1,SE,31.63,2.88,Thunderstorm,4.0,0.4,1.42,1.0
31.73.05.1005,2024-01-01 02:00:00,duri kepa,26.46,60.43,4.1,SE,31.63,2.88,Thunderstorm,4.0,0.4,1.42,1.0
31.73.05.1006,2024-01-01 02:00:00,kedoya utara,26.46,60.43,4.1,SE,31.63,2.88,Thunderstorm,4.0,0.4,1.42,1.0
31.73.05.1007,2024-01-01 02:00:00,kedoya selatan,26.46,60.43,4.1,SE,31.63,2.88,Thunderstorm,4.0,0.4,1.42,1.0
31.73.05.1001,2024-01-01 06:00:00,kebon jeruk,25.73,69.03,19.34,N,25.92,4.83,Light Rain,1.0,1.94,2.62,0.0
31.73.05.1002,2024-01-01 06:00:00,sukabumi utara,25.73,69.03,19.34,N,25.92,4.83,Light Rain,1.0,1.94,2.62,0.0
31.73.05.1003,2024-01-01 06:00:00,sukabumi selatan,25.73,69.03,19.34,N,25.92,4.83,Light Rain,1.0,1.94,2.62,0.0
31.73.05.1004,2024-01-01 06:00:00,kelapa dua,25.73,69.03,19.34,N,25.92,4.83,Light Rain,1.0,1.94,2.62,0.0
31.73.05.1005,2024-01-01 06:00:00,duri kepa,25.73,69.03,19.34,N,25.92,4.83,Light Rain,1.0,1.94,2.62,0.0
31.73.05.1006,2024-01-01 06:00:00,kedoya utara,25.73,69.03,19.34,N,25.92,4.83,Light Rain,1.0,1.94,2.62,0.0
31.73.05.1007,2024-01-01 06:00:00,kedoya selatan,25.73,69.03,19.34,N,25.92,4.83,Light Rain,1.0,1.94,2.62,0.0
31.73.05.1001,2024-01-01 07:00:00,kebon jeruk,32.97,93.9,11.85,SE,98.86,6.09,Heavy Rain,3.0,1.84,1.75,1.0
31.73.05.1002,2024-01-01 07:00:00,sukabumi utara,32.97,93.9,11.85,SE,98.86,6.09,Heavy Rain,3.0,1.84,1.75,1.0
31.73.05.1003,2024-01-01 07:00:00,sukabumi selatan,32.97,93.9,11.85,SE,98.86,6.09,Heavy Rain,3.0,1.84,1.75,1.0
31.73.05.1004,2024-01-01 07:00:00,kelapa dua,32.97,93.9,11.85,SE,98.86,6.09,Heavy Rain,3.0,1.84,1.75,1.0
31.73.05.1005,2024-01-01 07:00:00,duri kepa,32.97,93.9,11.85,SE,98.86,6.09,Heavy Rain,3.0,1.84,1.75,1.0
31.73.05.1006,2024-01-01 07:00:00,kedoya utara,32.97,93.9,11.85,SE,98.86,6.09,Heavy Rain,3.0,1.84,1.75,1.0
31.73.05.1007,2024-01-01 07:00:00,kedoya selatan,32.97,93.9,11.85,SE,98.86,6.09,Heavy Rain,3.0,1.84,1.75,1.0
31.73.05.1001,2024-01-01 08:00:00,kebon jeruk,24.8,93.4,21.4,E,49.97,1.19,Heavy Rain,3.0,0.42,1.37,0.0
31.73.05.1002,2024-01-01 08:00:00,sukabumi utara,24.8,93.4,21.4,E,49.97,1.19,Heavy Rain,3.0,0.42,1.37,0.0
31.73.05.1003,2024-01-01 08:00:00,sukabumi selatan,84.05260320261866,269.4357931275705,65.05601119506409,E,113.72138808260037,3.986904239181597,Heavy Rain,11.644157607440622,1.6257075394187215,2.7924807030780534,0.0
31.73.05.1004,2024-01-01 08:00:00,kelapa dua,24.8,93.4,21.4,E,49.97,1.19,Heavy Rain,3.0,0.42,1.37,0.0
31.73.05.1005,2024-01-01 08:00:00,duri kepa,24.8,93.4,21.4,E,49.97,1.19,Heavy Rain,3.0,0.42,1.37,0.0
31.73.05.1006,2024-01-01 08:00:00,kedoya utara,24.8,93.4,21.4,E,49.97,1.19,Heavy Rain,3.0,0.42,1.37,0.0
31.73.05.1007,2024-01-01 08:00:00,kedoya selatan,24.8,93.4,21.4,E,49.97,1.19,Heavy Rain,3.0,0.42,1.37,0.0
31.73.08.1001,2024-01-01 10:00:00,kembangan utara,28.1,89.5,26.71,NE,88.63,5.01,Cloudy,0.0,0.26,1.45,0.0
31.73.08.1002,2024-01-01 10:00:00,meruya utara,28.1,89.5,26.71,NE,88.63,5.01,Cloudy,0.0,0.26,1.45,0.0
31.73.08.1003,2024-01-01 10:00:00,meruya selatan,28.1,89.5,26.71,NE,88.63,5.01,Cloudy,0.0,0.26,1.45,0.0
31.73.08.1004,2024-01-01 10:00:00,srengseng,28.1,89.5,26.71,NE,88.63,5.01,Cloudy,0.0,0.26,1.45,0.0
31.73.08.1005,2024-01-01 10:00:00,joglo,28.1,89.5,26.71,NE,88.63,5.01,Cloudy,0.0,0.26,1.45,0.0
31.73.08.1006,2024-01-01 10:00:00,kembangan selatan,62.88048753896104,304.5659226825784,121.16221727218485,NE,201.3366275612879,19.92064422765298,Cloudy,0.0,1.199677196843895,4.480413924363628,0.0
31.73.05.1001,2024-01-01 11:00:00,kebon jeruk,33.82,65.23,8.62,NW,99.6,8.35,Clear,0.0,1.83,2.48,0.0
31.73.05.1002,2024-01-01 11:00:00,sukabumi utara,33.82,65.23,8.62,NW,99.6,8.35,Clear,0.0,1.83,2.48,0.0
31.73.05.1003,2024-01-01 11:00:00,sukabumi selatan,118.00779105653373,281.8558246736157,39.11468040917856,NW,457.31157014038183,32.01870319713257,Clear,0.0,6.128561474518538,5.165448494526992,0.0
31.73.05.1004,2024-01-01 11:00:00,kelapa dua,33.82,65.23,8.62,NW,99.6,8.35,Clear,0.0,1.83,2.48,0.0
